,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj.34.0,1.8495747409228518,0.08565874764088255,1.701045029353593,1.7885521754483582,1.8414665776489225,1.9035740495877653,2.035520029388006,0.0011065542013528292
a_subj.35.0,1.6753486605348034,0.05707956473896993,1.566942916781761,1.636403787995202,1.6739677295740512,1.7128079062504182,1.7915217708571614,0.0002580828080131207
a_subj.36.0,1.8525182920264216,0.06498672479431866,1.7292871058588475,1.808177391694759,1.8510690845161724,1.8954873063126982,1.9833484571229931,0.00029900969532226584
a_subj.37.0,2.1943768268295343,0.07627639123327562,2.0509240377258258,2.1415966534271558,2.192583257111178,2.2445940462498495,2.349896714128182,0.00032626449275290656
a_subj.38.0,1.604946769551158,0.0547763790020792,1.5003700198036631,1.5676432890179415,1.603545670173871,1.6408837355396755,1.715416314726736,0.0002753995595602715
a_subj.39.0,1.9086563157857734,0.06835968416532327,1.7798049329937815,1.861808079977702,1.9069261939740112,1.9533622540097921,2.048078771185376,0.00032301040635919465
a_subj.40.0,2.0334324443356335,0.07297424881719487,1.8962322980134378,1.983072340627368,2.0317243135346694,2.08160277358874,2.181538208460522,0.0003690946099077448
a_subj.41.0,1.8008295210229477,0.06444653144715261,1.678026381916639,1.7568986605940196,1.7997079922779757,1.843199715127425,1.9316996974119442,0.0003260263184172165
a_subj.42.0,1.9178927812712194,0.06958352283779831,1.7897324776129557,1.8697043060096927,1.9153095971599916,1.9629998643005613,2.0626737460519675,0.0003418671260671953
a_subj.43.0,1.7911978713679637,0.06263362942460204,1.6739202138765372,1.7479305982705435,1.789404416892358,1.8323874719739779,1.9189295492991376,0.0002964830450000523
a_subj.44.0,1.7745877292751773,0.06380180826398207,1.653879219912368,1.7307523561174771,1.773139746960909,1.8165345769256367,1.903275613888097,0.00028031189759799354
a_subj.45.0,1.9184851907099105,0.06555701624386015,1.7950628169446163,1.8733560550231019,1.9165034811185089,1.9616545682759483,2.0517125879963602,0.0003054800709601505
a_subj.46.0,1.772614817616214,0.06153962016701947,1.656091152722106,1.7304371393395497,1.7709507520107182,1.8130470191904304,1.897627500137954,0.0003075088908734019
