Parameter,Rhat
v_condition_subj.29.0,1.0000556134075413
v_condition_subj.30.0,0.9999821570162377
v_condition_subj.31.0,0.9999881271873011
v_condition_subj.32.0,1.0000149506116771
v_condition_subj.33.0,0.9999851823498848
v_condition_subj.34.0,0.9999988698041563
v_condition_subj.35.0,1.0000845145232038
v_condition_subj.36.0,1.0000590324272904
v_condition_subj.37.0,1.0000639552440205
v_condition_subj.38.0,1.0000476260246183
v_condition_subj.39.0,0.9999781840625571
v_condition_subj.40.0,1.0000109194086095
v_condition_subj.41.0,0.999973982066207
v_condition_subj.42.0,0.9999938500174436
v_condition_subj.43.0,1.0000193761735783
v_condition_subj.44.0,0.9999924896211408
v_condition_subj.45.0,1.0000063730976576
v_condition_subj.46.0,1.000006353271323
v_condition_subj.47.0,1.0002010013139404
v_condition_subj.48.0,0.999984708005962
v_condition_subj.49.0,1.000006935038215
z_Intercept_trans,1.0001110038270908
z_Intercept_std,1.000020425650128
z_Intercept_subj_trans.1.0,1.0001291498437497
z_Intercept_subj_trans.2.0,1.0000209135278215
z_Intercept_subj_trans.3.0,0.9999695513622517
z_Intercept_subj_trans.4.0,1.0000450711811864
z_Intercept_subj_trans.5.0,1.0000120285574132
z_Intercept_subj_trans.6.0,1.0000845626248578
z_Intercept_subj_trans.7.0,1.000069121142249
z_Intercept_subj_trans.8.0,0.9999768065215648
z_Intercept_subj_trans.9.0,1.0000793773655798
z_Intercept_subj_trans.10.0,1.0000529293598484
z_Intercept_subj_trans.11.0,0.9999811780363856
z_Intercept_subj_trans.12.0,0.9999914948486773
z_Intercept_subj_trans.13.0,0.999971422392396
z_Intercept_subj_trans.14.0,0.9999913550271972
z_Intercept_subj_trans.15.0,1.0001153517844659
z_Intercept_subj_trans.16.0,0.9999923336479487
z_Intercept_subj_trans.17.0,0.9999945401373851
z_Intercept_subj_trans.18.0,0.9999707483598697
z_Intercept_subj_trans.20.0,0.9999802772133914
z_Intercept_subj_trans.21.0,0.9999903172048601
z_Intercept_subj_trans.22.0,0.9999781579713984
z_Intercept_subj_trans.23.0,0.9999984959992555
z_Intercept_subj_trans.24.0,1.0000096531419496
z_Intercept_subj_trans.25.0,1.0001361100176935
z_Intercept_subj_trans.26.0,1.0000277794005668
z_Intercept_subj_trans.27.0,0.9999849088530501
z_Intercept_subj_trans.28.0,1.0000579888762424
z_Intercept_subj_trans.29.0,1.000048002100664
z_Intercept_subj_trans.30.0,0.9999814945978374
z_Intercept_subj_trans.31.0,1.0000128440357943
z_Intercept_subj_trans.32.0,1.0000393002159884
z_Intercept_subj_trans.33.0,0.9999851912856301
z_Intercept_subj_trans.34.0,1.0000474919116789
z_Intercept_subj_trans.35.0,0.9999765689690904
