,mean,std,2.5q,25q,50q,75q,97.5q,mc err,,
v_Intercept_subj.12.0,-0.029579683,0.093325576,-0.212897299,-0.092362995,-0.029908164,0.033407535,0.151848033,0.000456392,,
v_Intercept_subj.13.0,-0.95386559,0.148107649,-1.248027388,-1.053138138,-0.952640658,-0.852642358,-0.667830486,0.000788034,,
v_Intercept_subj.14.0,-0.014294659,0.096473477,-0.204526069,-0.078910082,-0.01402635,0.050709057,0.175884355,0.000462337,,
v_Intercept_subj.15.0,-0.344305141,0.138327355,-0.615096167,-0.437936554,-0.345010963,-0.25036458,-0.073352892,0.000680496,,
v_Intercept_subj.16.0,0.059493491,0.089939967,-0.1162187,-0.001139051,0.059536095,0.120088831,0.237095423,0.000434013,,
v_Intercept_subj.17.0,0.273753256,0.129104255,0.020190673,0.186316466,0.273511433,0.361025502,0.526168053,0.00053502,,
v_Intercept_subj.18.0,0.306002457,0.10025601,0.110723166,0.238195517,0.30606459,0.373514339,0.503563057,0.00050093,,
v_Intercept_subj.20.0,0.348061353,0.113507882,0.124604666,0.271834474,0.348377195,0.424397648,0.569039846,0.000554989,,
v_Intercept_subj.21.0,0.195335609,0.088423548,0.022495778,0.136046324,0.194740412,0.255236879,0.369310251,0.00038136,,
v_Intercept_subj.22.0,0.179168128,0.091576088,0.000218292,0.117511074,0.178931213,0.240585578,0.360761095,0.000413278,,
v_Intercept_subj.23.0,0.329704366,0.093958793,0.144962444,0.266151653,0.32982597,0.39334713,0.512842222,0.000455363,,
v_Intercept_subj.24.0,-0.439838351,0.097826951,-0.630686083,-0.505666432,-0.43978241,-0.374333699,-0.247876731,0.000433614,,
v_Intercept_subj.25.0,0.168493578,0.102683256,-0.030705992,0.098835185,0.168530143,0.238169,0.369682677,0.000516556,,
v_Intercept_subj.26.0,0.162017104,0.103415885,-0.040747356,0.092357496,0.161363165,0.231537531,0.365127881,0.000493257,,
v_Intercept_subj.27.0,-0.051345456,0.079248782,-0.206356447,-0.104907681,-0.051411158,0.002017992,0.103904413,0.000387425,,
v_Intercept_subj.28.0,-0.61324757,0.110182172,-0.82953346,-0.687404687,-0.613018588,-0.538254358,-0.399130302,0.000559051,,
v_Intercept_subj.29.0,0.17430986,0.102011066,-0.026625399,0.105552057,0.174660724,0.243523164,0.373859445,0.000472725,,
v_Intercept_subj.30.0,-0.553685523,0.126052164,-0.800474293,-0.63884984,-0.553202098,-0.468694278,-0.30804353,0.000615887,,
v_Intercept_subj.31.0,-0.154898666,0.090347231,-0.332422321,-0.215836762,-0.154910738,-0.093672972,0.021342477,0.000375545,,
v_Intercept_subj.32.0,0.027640982,0.097542225,-0.163329434,-0.038147437,0.027637448,0.093806279,0.21956092,0.000536933,,
v_Intercept_subj.33.0,-0.442616578,0.10135691,-0.641139382,-0.510861194,-0.44241688,-0.37390676,-0.244433109,0.000502706,,
