,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_Intercept_subj.13.0,-0.9541201180949131,0.146874709394416,-1.242189085558141,-1.0532097413781887,-0.9532076025997028,-0.8545031745153995,-0.6689103663874916,0.0007395128216980138
v_Intercept_subj.14.0,-0.015167493496751217,0.09549196774483658,-0.20375510453352097,-0.07931656236033235,-0.014813110453210876,0.04903846742808943,0.17236964997405146,0.00044164596561763815
v_Intercept_subj.15.0,-0.34877803823770687,0.1377675946652743,-0.6200261328466822,-0.4418246976257911,-0.34798763511924624,-0.25559845150404414,-0.07983671163160228,0.0007521815575435465
v_Intercept_subj.16.0,0.05832924661840475,0.0897402078464179,-0.11704706968805649,-0.002750107721518222,0.05904055956614894,0.1190293356224795,0.23337694735171116,0.0004207884057999572
v_Intercept_subj.17.0,0.2801425462490434,0.1285409903327346,0.027913174690307824,0.19370009931842616,0.28081561516186293,0.36576255503568306,0.532212966879605,0.0006318653348642209
v_Intercept_subj.18.0,0.3039513453804067,0.10030856742438801,0.1070776565577697,0.23607570785420023,0.3041978154677589,0.37101761480411866,0.49892833132218284,0.0004162553621171027
v_Intercept_subj.20.0,0.3445229184394495,0.11343005184825541,0.12216715157068027,0.26773542542764817,0.3442502877976097,0.42059633606172186,0.5672305023417628,0.0005257575038141867
v_Intercept_subj.21.0,0.1957648656456129,0.08830662525131559,0.024789338791651967,0.13569317127822167,0.19502336957625194,0.2556665159142626,0.36904369662536773,0.0004106739034441199
v_Intercept_subj.22.0,0.17932314666302976,0.09132204542573069,0.0012952736641127088,0.1176798530170895,0.17949061201013788,0.24095251514996985,0.3586228813675972,0.0004452396572440686
v_Intercept_subj.23.0,0.3277058810714032,0.09366397490003131,0.1443974372998942,0.2648345806860557,0.3278486201023021,0.3909528128078885,0.5109676810086333,0.00046457509838094597
v_Intercept_subj.24.0,-0.44832235852320845,0.09646660762854756,-0.6386134432040834,-0.51334996416114,-0.4484344348476337,-0.3828548634734278,-0.2603831080805019,0.0005020327812864185
